Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,PC-BR-BR-01,Activo,[L16F-NI-SM] Broche Pañalero Fierro L16
3,MATERIA PRIMA,CO-CD-AC-02,Activo,ACEITE X LITRO
3,MATERIA PRIMA,GE-AS-AC-1,Activo,Acetato de sodio trihidratado por kilo
3,MATERIA PRIMA,SAN-ACO-01L,Activo,ACONDICIONADOR
3,MATERIA PRIMA,AC-CH-MT-01,Activo,Activador metalico para autocalentable
3,MATERIA PRIMA,PA-PA-DO-01,Activo,ADH 2 CARAS POLIESTER 51 x 66
3,MATERIA PRIMA,SE-GR-AD-03,Activo,ADHESIVO 250 (800 GMS)
3,MATERIA PRIMA,MP7-AD,Activo,ADHESIVO EN AEROSOL EXPERT HOLD-TIGHT
3,MATERIA PRIMA,AD-GR-AS-01-PZ,Activo,ADHESIVO EN SPRAY PR 16 OZ
3,MATERIA PRIMA,MP6-AD,Activo,ADHESIVO G-908
3,MATERIA PRIMA,SE-SA-AD-01,Activo,ADHESIVO LIQUIDO 1 LT
3,MATERIA PRIMA,SE-SE-AD-01,Activo,ADHESIVO PRIMER AB2001 P/ALUMINIO
3,MATERIA PRIMA,ADHESIVO,Activo,ADHESIVO REPOSCIONABLE TRANSPARENTE
3,MATERIA PRIMA,CO-SY-AG-01,Activo,AGUA PURIFICADA
3,MATERIA PRIMA,CO-CD-AG-01,Activo,AGUJA PUNTA BOLA FINA717094 S01-R
3,MATERIA PRIMA,CO-CD-AG-02,Activo,AGUJA PUNTA DE BOLA777922
3,MATERIA PRIMA,GR-TI-AH-02,Activo,AHULADO BLANCO VPM-910 (250 GMS.)
3,MATERIA PRIMA,GR-TI-AH-03,Activo,AHULADO DILUYENTE DYT-907 (250 GMS.)
3,MATERIA PRIMA,GR-TI-AH-01,Activo,AHULADO NEGRO VPM-101 (250 GMS.)
3,MATERIA PRIMA,ALAMBRE PULIDO,Activo,ALAMBRE PULIDO#13
3,MATERIA PRIMA,MP8-ALG-LT,Activo,ALCOGEL ECONOMICO
3,MATERIA PRIMA,MP8-ALE-LT,Activo,ALCOHOL ETILICO
3,MATERIA PRIMA,GR-AC-AP-01,Activo,APLICADOR DE EMULSION DE ALUMINIIO 45 CM
3,MATERIA PRIMA,TI-SE-BO-01,Activo,AZUL OBSCURO BOLSA KG
3,MATERIA PRIMA,SA-TI-PP-04,Activo,AZUL PP NON WOVEN
